/*
 * To change this license header, choose License Headers in Project Properties.
 * To change this template file, choose Tools | Templates
 * and open the template in the editor.
 */line 0 cols 0-188 is COMMENT
package                                           line 5 cols 7-14 is T_IDENTIFIER
,                                                 line 106 cols 52-53 is T_PUNCTUATION
1                                                 line 106 cols 54-55 is T_INTCONSTANT
,                                                 line 106 cols 55-56 is T_PUNCTUATION
24                                                line 106 cols 58-60 is T_INTCONSTANT
)                                                 line 106 cols 59-60 is T_PUNCTUATION
)                                                 line 106 cols 60-61 is T_PUNCTUATION
;                                                 line 106 cols 61-62 is T_PUNCTUATION
// NOI18N                                         line 106 cols 71-80 is COMMENT
jLabel3                                           line 107 cols 15-22 is T_IDENTIFIER
.                                                 line 107 cols 16-17 is T_PUNCTUATION
setHorizontalAlignment                            line 107 cols 38-60 is T_IDENTIFIER
(                                                 line 107 cols 39-40 is T_PUNCTUATION
javax                                             line 107 cols 44-49 is T_IDENTIFIER
.                                                 line 107 cols 45-46 is T_PUNCTUATION
swing                                             line 107 cols 50-55 is T_IDENTIFIER
.                                                 line 107 cols 51-52 is T_PUNCTUATION
SwingConstants                                    line 107 cols 65-79 is T_IDENTIFIER
.                                                 line 107 cols 66-67 is T_PUNCTUATION
CENTER                                            line 107 cols 72-78 is T_IDENTIFIER
)                                                 line 107 cols 73-74 is T_PUNCTUATION
;                                                 line 107 cols 74-75 is T_PUNCTUATION
jLabel3                                           line 108 cols 15-22 is T_IDENTIFIER
.                                                 line 108 cols 16-17 is T_PUNCTUATION
setText                                           line 108 cols 23-30 is T_IDENTIFIER
(                                                 line 108 cols 24-25 is T_PUNCTUATION
"C# Lexical Analyzer"                             line 108 cols 45-66 is T_STRINGCONSTANT
)                                                 line 108 cols 46-47 is T_PUNCTUATION
;                                                 line 108 cols 47-48 is T_PUNCTUATION
jLabel4                                           line 110 cols 15-22 is T_IDENTIFIER
.                                                 line 110 cols 16-17 is T_PUNCTUATION
setFont                                           line 110 cols 23-30 is T_IDENTIFIER
(                                                 line 110 cols 24-25 is T_PUNCTUATION
new                                               line 110 cols 27-30 is T_IDENTIFIER
java                                              line 110 cols 32-36 is T_IDENTIFIER
.                                                 line 110 cols 33-34 is T_PUNCTUATION
awt                                               line 110 cols 36-39 is T_IDENTIFIER
.                                                 line 110 cols 37-38 is T_PUNCTUATION
Font                                              line 110 cols 41-45 is T_IDENTIFIER
(                                                 line 110 cols 42-43 is T_PUNCTUATION
"Calibri"                                         line 110 cols 51-60 is T_STRINGCONSTANT
,                                                 line 110 cols 52-53 is T_PUNCTUATION
1                                                 line 110 cols 54-55 is T_INTCONSTANT
,                                                 line 110 cols 55-56 is T_PUNCTUATION
24                                                line 110 cols 58-60 is T_INTCONSTANT
)                                                 line 110 cols 59-60 is T_PUNCTUATION
)                                                 line 110 cols 60-61 is T_PUNCTUATION
;                                                 line 110 cols 61-62 is T_PUNCTUATION
// NOI18N                                         line 110 cols 71-80 is COMMENT
jLabel4                                           line 111 cols 15-22 is T_IDENTIFIER
.                                                 line 111 cols 16-17 is T_PUNCTUATION
setHorizontalAlignment                            line 111 cols 38-60 is T_IDENTIFIER
(                                                 line 111 cols 39-40 is T_PUNCTUATION
javax                                             line 111 cols 44-49 is T_IDENTIFIER
.                                                 line 111 cols 45-46 is T_PUNCTUATION
swing                                             line 111 cols 50-55 is T_IDENTIFIER
.                                                 line 111 cols 51-52 is T_PUNCTUATION
SwingConstants                                    line 111 cols 65-79 is T_IDENTIFIER
.                                                 line 111 cols 66-67 is T_PUNCTUATION
CENTER                                            line 111 cols 72-78 is T_IDENTIFIER
)                                                 line 111 cols 73-74 is T_PUNCTUATION
;                                                 line 111 cols 74-75 is T_PUNCTUATION
jLabel4                                           line 112 cols 15-22 is T_IDENTIFIER
.                                                 line 112 cols 16-17 is T_PUNCTUATION
setText                                           line 112 cols 23-30 is T_IDENTIFIER
(                                                 line 112 cols 24-25 is T_PUNCTUATION
"Original C# File"                                line 112 cols 42-60 is T_STRINGCONSTANT
)                                                 line 112 cols 43-44 is T_PUNCTUATION
;                                                 line 112 cols 44-45 is T_PUNCTUATION
taOriginal                                        line 114 cols 18-28 is T_IDENTIFIER
.                                                 line 114 cols 19-20 is T_PUNCTUATION
setColumns                                        line 114 cols 29-39 is T_IDENTIFIER
(                                                 line 114 cols 30-31 is T_PUNCTUATION
20                                                line 114 cols 32-34 is T_INTCONSTANT
)                                                 line 114 cols 33-34 is T_PUNCTUATION
;                                                 line 114 cols 34-35 is T_PUNCTUATION
taOriginal                                        line 115 cols 18-28 is T_IDENTIFIER
.                                                 line 115 cols 19-20 is T_PUNCTUATION
setRows                                           line 115 cols 26-33 is T_IDENTIFIER
(                                                 line 115 cols 27-28 is T_PUNCTUATION
5                                                 line 115 cols 28-29 is T_INTCONSTANT
)                                                 line 115 cols 29-30 is T_PUNCTUATION
;                                                 line 115 cols 30-31 is T_PUNCTUATION
jScrollPane2                                      line 116 cols 20-32 is T_IDENTIFIER
.                                                 line 116 cols 21-22 is T_PUNCTUATION
setViewportView                                   line 116 cols 36-51 is T_IDENTIFIER
(                                                 line 116 cols 37-38 is T_PUNCTUATION
taOriginal                                        line 116 cols 47-57 is T_IDENTIFIER
)                                                 line 116 cols 48-49 is T_PUNCTUATION
;                                                 line 116 cols 49-50 is T_PUNCTUATION
jTextPane1                                        line 118 cols 18-28 is T_IDENTIFIER
.                                                 line 118 cols 19-20 is T_PUNCTUATION
setEditable                                       line 118 cols 30-41 is T_IDENTIFIER
(                                                 line 118 cols 31-32 is T_PUNCTUATION
false                                             line 118 cols 36-41 is T_IDENTIFIER
)                                                 line 118 cols 37-38 is T_PUNCTUATION
;                                                 line 118 cols 38-39 is T_PUNCTUATION
jTextPane1                                        line 119 cols 18-28 is T_IDENTIFIER
.                                                 line 119 cols 19-20 is T_PUNCTUATION
setBackground                                     line 119 cols 32-45 is T_IDENTIFIER
(                                                 line 119 cols 33-34 is T_PUNCTUATION
new                                               line 119 cols 36-39 is T_IDENTIFIER
java                                              line 119 cols 41-45 is T_IDENTIFIER
.                                                 line 119 cols 42-43 is T_PUNCTUATION
awt                                               line 119 cols 45-48 is T_IDENTIFIER
.                                                 line 119 cols 46-47 is T_PUNCTUATION
Color                                             line 119 cols 51-56 is T_IDENTIFIER
(                                                 line 119 cols 52-53 is T_PUNCTUATION
0                                                 line 119 cols 53-54 is T_INTCONSTANT
,                                                 line 119 cols 54-55 is T_PUNCTUATION
0                                                 line 119 cols 56-57 is T_INTCONSTANT
,                                                 line 119 cols 57-58 is T_PUNCTUATION
102                                               line 119 cols 61-64 is T_INTCONSTANT
)                                                 line 119 cols 62-63 is T_PUNCTUATION
)                                                 line 119 cols 63-64 is T_PUNCTUATION
;                                                 line 119 cols 64-65 is T_PUNCTUATION
jTextPane1                                        line 120 cols 18-28 is T_IDENTIFIER
.                                                 line 120 cols 19-20 is T_PUNCTUATION
setForeground                                     line 120 cols 32-45 is T_IDENTIFIER
(                                                 line 120 cols 33-34 is T_PUNCTUATION
new                                               line 120 cols 36-39 is T_IDENTIFIER
java                                              line 120 cols 41-45 is T_IDENTIFIER
.                                                 line 120 cols 42-43 is T_PUNCTUATION
awt                                               line 120 cols 45-48 is T_IDENTIFIER
.                                                 line 120 cols 46-47 is T_PUNCTUATION
Color                                             line 120 cols 51-56 is T_IDENTIFIER
(                                                 line 120 cols 52-53 is T_PUNCTUATION
255                                               line 120 cols 55-58 is T_INTCONSTANT
,                                                 line 120 cols 56-57 is T_PUNCTUATION
255                                               line 120 cols 60-63 is T_INTCONSTANT
,                                                 line 120 cols 61-62 is T_PUNCTUATION
255                                               line 120 cols 65-68 is T_INTCONSTANT
)                                                 line 120 cols 66-67 is T_PUNCTUATION
)                                                 line 120 cols 67-68 is T_PUNCTUATION
;                                                 line 120 cols 68-69 is T_PUNCTUATION
jScrollPane3                                      line 121 cols 20-32 is T_IDENTIFIER
.                                                 line 121 cols 21-22 is T_PUNCTUATION
setViewportView                                   line 121 cols 36-51 is T_IDENTIFIER
(                                                 line 121 cols 37-38 is T_PUNCTUATION
jTextPane1                                        line 121 cols 47-57 is T_IDENTIFIER
)                                                 line 121 cols 48-49 is T_PUNCTUATION
;                                                 line 121 cols 49-50 is T_PUNCTUATION
jLabel5                                           line 123 cols 15-22 is T_IDENTIFIER
.                                                 line 123 cols 16-17 is T_PUNCTUATION
setFont                                           line 123 cols 23-30 is T_IDENTIFIER
(                                                 line 123 cols 24-25 is T_PUNCTUATION
new                                               line 123 cols 27-30 is T_IDENTIFIER
java                                              line 123 cols 32-36 is T_IDENTIFIER
.                                                 line 123 cols 33-34 is T_PUNCTUATION
awt                                               line 123 cols 36-39 is T_IDENTIFIER
.                                                 line 123 cols 37-38 is T_PUNCTUATION
Font                                              line 123 cols 41-45 is T_IDENTIFIER
(                                                 line 123 cols 42-43 is T_PUNCTUATION
"Calibri"                                         line 123 cols 51-60 is T_STRINGCONSTANT
,                                                 line 123 cols 52-53 is T_PUNCTUATION
1                                                 line 123 cols 54-55 is T_INTCONSTANT
,                                                 line 123 cols 55-56 is T_PUNCTUATION
24                                                line 123 cols 58-60 is T_INTCONSTANT
)                                                 line 123 cols 59-60 is T_PUNCTUATION
)                                                 line 123 cols 60-61 is T_PUNCTUATION
;                                                 line 123 cols 61-62 is T_PUNCTUATION
// NOI18N                                         line 123 cols 71-80 is COMMENT
jLabel5                                           line 124 cols 15-22 is T_IDENTIFIER
.                                                 line 124 cols 16-17 is T_PUNCTUATION
setHorizontalAlignment                            line 124 cols 38-60 is T_IDENTIFIER
(                                                 line 124 cols 39-40 is T_PUNCTUATION
javax                                             line 124 cols 44-49 is T_IDENTIFIER
.                                                 line 124 cols 45-46 is T_PUNCTUATION
swing                                             line 124 cols 50-55 is T_IDENTIFIER
.                                                 line 124 cols 51-52 is T_PUNCTUATION
SwingConstants                                    line 124 cols 65-79 is T_IDENTIFIER
.                                                 line 124 cols 66-67 is T_PUNCTUATION
CENTER                                            line 124 cols 72-78 is T_IDENTIFIER
)                                                 line 124 cols 73-74 is T_PUNCTUATION
;                                                 line 124 cols 74-75 is T_PUNCTUATION
jLabel5                                           line 125 cols 15-22 is T_IDENTIFIER
.                                                 line 125 cols 16-17 is T_PUNCTUATION
setText                                           line 125 cols 23-30 is T_IDENTIFIER
(                                                 line 125 cols 24-25 is T_PUNCTUATION
"Corrected C# File"                               line 125 cols 43-62 is T_STRINGCONSTANT
)                                                 line 125 cols 44-45 is T_PUNCTUATION
;                                                 line 125 cols 45-46 is T_PUNCTUATION
jMenu1                                            line 127 cols 14-20 is T_IDENTIFIER
.                                                 line 127 cols 15-16 is T_PUNCTUATION
setText                                           line 127 cols 22-29 is T_IDENTIFIER
(                                                 line 127 cols 23-24 is T_PUNCTUATION
"File"                                            line 127 cols 29-35 is T_STRINGCONSTANT
)                                                 line 127 cols 30-31 is T_PUNCTUATION
;                                                 line 127 cols 31-32 is T_PUNCTUATION
jMenuItem1                                        line 129 cols 18-28 is T_IDENTIFIER
.                                                 line 129 cols 19-20 is T_PUNCTUATION
setAccelerator                                    line 129 cols 33-47 is T_IDENTIFIER
(                                                 line 129 cols 34-35 is T_PUNCTUATION
javax                                             line 129 cols 39-44 is T_IDENTIFIER
.                                                 line 129 cols 40-41 is T_PUNCTUATION
swing                                             line 129 cols 45-50 is T_IDENTIFIER
.                                                 line 129 cols 46-47 is T_PUNCTUATION
KeyStroke                                         line 129 cols 55-64 is T_IDENTIFIER
.                                                 line 129 cols 56-57 is T_PUNCTUATION
getKeyStroke                                      line 129 cols 68-80 is T_IDENTIFIER
(                                                 line 129 cols 69-70 is T_PUNCTUATION
java                                              line 129 cols 73-77 is T_IDENTIFIER
.                                                 line 129 cols 74-75 is T_PUNCTUATION
awt                                               line 129 cols 77-80 is T_IDENTIFIER
.                                                 line 129 cols 78-79 is T_PUNCTUATION
event                                             line 129 cols 83-88 is T_IDENTIFIER
.                                                 line 129 cols 84-85 is T_PUNCTUATION
KeyEvent                                          line 129 cols 92-100 is T_IDENTIFIER
.                                                 line 129 cols 93-94 is T_PUNCTUATION
VK_O                                              line 129 cols 97-101 is T_IDENTIFIER
,                                                 line 129 cols 98-99 is T_PUNCTUATION
java                                              line 129 cols 103-107 is T_IDENTIFIER
.                                                 line 129 cols 104-105 is T_PUNCTUATION
awt                                               line 129 cols 107-110 is T_IDENTIFIER
.                                                 line 129 cols 108-109 is T_PUNCTUATION
event                                             line 129 cols 113-118 is T_IDENTIFIER
.                                                 line 129 cols 114-115 is T_PUNCTUATION
InputEvent                                        line 129 cols 124-134 is T_IDENTIFIER
.                                                 line 129 cols 125-126 is T_PUNCTUATION
CTRL_MASK                                         line 129 cols 134-143 is T_IDENTIFIER
)                                                 line 129 cols 135-136 is T_PUNCTUATION
)                                                 line 129 cols 136-137 is T_PUNCTUATION
;                                                 line 129 cols 137-138 is T_PUNCTUATION
jMenuItem1                                        line 130 cols 18-28 is T_IDENTIFIER
.                                                 line 130 cols 19-20 is T_PUNCTUATION
setText                                           line 130 cols 26-33 is T_IDENTIFIER
(                                                 line 130 cols 27-28 is T_PUNCTUATION
"Open"                                            line 130 cols 33-39 is T_STRINGCONSTANT
)                                                 line 130 cols 34-35 is T_PUNCTUATION
;                                                 line 130 cols 35-36 is T_PUNCTUATION
jMenuItem1                                        line 131 cols 18-28 is T_IDENTIFIER
.                                                 line 131 cols 19-20 is T_PUNCTUATION
addActionListener                                 line 131 cols 36-53 is T_IDENTIFIER
(                                                 line 131 cols 37-38 is T_PUNCTUATION
new                                               line 131 cols 40-43 is T_IDENTIFIER
java                                              line 131 cols 45-49 is T_IDENTIFIER
.                                                 line 131 cols 46-47 is T_PUNCTUATION
awt                                               line 131 cols 49-52 is T_IDENTIFIER
.                                                 line 131 cols 50-51 is T_PUNCTUATION
event                                             line 131 cols 55-60 is T_IDENTIFIER
.                                                 line 131 cols 56-57 is T_PUNCTUATION
ActionListener                                    line 131 cols 70-84 is T_IDENTIFIER
(                                                 line 131 cols 71-72 is T_PUNCTUATION
)                                                 line 131 cols 72-73 is T_PUNCTUATION
{                                                 line 131 cols 74-75 is T_PUNCTUATION
public                                            line 132 cols 18-24 is T_IDENTIFIER
void                                              line 132 cols 23-27 is T_IDENTIFIER
actionPerformed                                   line 132 cols 39-54 is T_IDENTIFIER
(                                                 line 132 cols 40-41 is T_PUNCTUATION
java                                              line 132 cols 44-48 is T_IDENTIFIER
.                                                 line 132 cols 45-46 is T_PUNCTUATION
awt                                               line 132 cols 48-51 is T_IDENTIFIER
.                                                 line 132 cols 49-50 is T_PUNCTUATION
event                                             line 132 cols 54-59 is T_IDENTIFIER
.                                                 line 132 cols 55-56 is T_PUNCTUATION
ActionEvent                                       line 132 cols 66-77 is T_IDENTIFIER
evt                                               line 132 cols 70-73 is T_IDENTIFIER
)                                                 line 132 cols 71-72 is T_PUNCTUATION
{                                                 line 132 cols 73-74 is T_PUNCTUATION
jMenuItem1ActionPerformed                         line 133 cols 41-66 is T_IDENTIFIER
(                                                 line 133 cols 42-43 is T_PUNCTUATION
evt                                               line 133 cols 45-48 is T_IDENTIFIER
)                                                 line 133 cols 46-47 is T_PUNCTUATION
;                                                 line 133 cols 47-48 is T_PUNCTUATION
}                                                 line 134 cols 13-14 is T_PUNCTUATION
}                                                 line 135 cols 9-10 is T_PUNCTUATION
)                                                 line 135 cols 10-11 is T_PUNCTUATION
;                                                 line 135 cols 11-12 is T_PUNCTUATION
jMenu1                                            line 136 cols 14-20 is T_IDENTIFIER
.                                                 line 136 cols 15-16 is T_PUNCTUATION
add                                               line 136 cols 18-21 is T_IDENTIFIER
(                                                 line 136 cols 19-20 is T_PUNCTUATION
jMenuItem1                                        line 136 cols 29-39 is T_IDENTIFIER
)                                                 line 136 cols 30-31 is T_PUNCTUATION
;                                                 line 136 cols 31-32 is T_PUNCTUATION
jMenuBar1                                         line 138 cols 17-26 is T_IDENTIFIER
.                                                 line 138 cols 18-19 is T_PUNCTUATION
add                                               line 138 cols 21-24 is T_IDENTIFIER
(                                                 line 138 cols 22-23 is T_PUNCTUATION
jMenu1                                            line 138 cols 28-34 is T_IDENTIFIER
)                                                 line 138 cols 29-30 is T_PUNCTUATION
;                                                 line 138 cols 30-31 is T_PUNCTUATION
setJMenuBar                                       line 140 cols 19-30 is T_IDENTIFIER
(                                                 line 140 cols 20-21 is T_PUNCTUATION
jMenuBar1                                         line 140 cols 29-38 is T_IDENTIFIER
)                                                 line 140 cols 30-31 is T_PUNCTUATION
;                                                 line 140 cols 31-32 is T_PUNCTUATION
javax                                             line 142 cols 13-18 is T_IDENTIFIER
.                                                 line 142 cols 14-15 is T_PUNCTUATION
swing                                             line 142 cols 19-24 is T_IDENTIFIER
.                                                 line 142 cols 20-21 is T_PUNCTUATION
GroupLayout                                       line 142 cols 31-42 is T_IDENTIFIER
layout                                            line 142 cols 38-44 is T_IDENTIFIER
=                                                 line 142 cols 40-41 is T_BINOP
new                                               line 142 cols 44-47 is T_IDENTIFIER
javax                                             line 142 cols 50-55 is T_IDENTIFIER
.                                                 line 142 cols 51-52 is T_PUNCTUATION
swing                                             line 142 cols 56-61 is T_IDENTIFIER
.                                                 line 142 cols 57-58 is T_PUNCTUATION
GroupLayout                                       line 142 cols 68-79 is T_IDENTIFIER
(                                                 line 142 cols 69-70 is T_PUNCTUATION
getContentPane                                    line 142 cols 83-97 is T_IDENTIFIER
(                                                 line 142 cols 84-85 is T_PUNCTUATION
)                                                 line 142 cols 85-86 is T_PUNCTUATION
)                                                 line 142 cols 86-87 is T_PUNCTUATION
;                                                 line 142 cols 87-88 is T_PUNCTUATION
getContentPane                                    line 143 cols 22-36 is T_IDENTIFIER
(                                                 line 143 cols 23-24 is T_PUNCTUATION
)                                                 line 143 cols 24-25 is T_PUNCTUATION
.                                                 line 143 cols 25-26 is T_PUNCTUATION
setLayout                                         line 143 cols 34-43 is T_IDENTIFIER
(                                                 line 143 cols 35-36 is T_PUNCTUATION
layout                                            line 143 cols 41-47 is T_IDENTIFIER
)                                                 line 143 cols 42-43 is T_PUNCTUATION
;                                                 line 143 cols 43-44 is T_PUNCTUATION
layout                                            line 144 cols 14-20 is T_IDENTIFIER
.                                                 line 144 cols 15-16 is T_PUNCTUATION
setHorizontalGroup                                line 144 cols 33-51 is T_IDENTIFIER
(                                                 line 144 cols 34-35 is T_PUNCTUATION
layout                                            line 145 cols 18-24 is T_IDENTIFIER
.                                                 line 145 cols 19-20 is T_PUNCTUATION
createParallelGroup                               line 145 cols 38-57 is T_IDENTIFIER
(                                                 line 145 cols 39-40 is T_PUNCTUATION
javax                                             line 145 cols 44-49 is T_IDENTIFIER
.                                                 line 145 cols 45-46 is T_PUNCTUATION
swing                                             line 145 cols 50-55 is T_IDENTIFIER
.                                                 line 145 cols 51-52 is T_PUNCTUATION
GroupLayout                                       line 145 cols 62-73 is T_IDENTIFIER
.                                                 line 145 cols 63-64 is T_PUNCTUATION
Alignment                                         line 145 cols 72-81 is T_IDENTIFIER
.                                                 line 145 cols 73-74 is T_PUNCTUATION
LEADING                                           line 145 cols 80-87 is T_IDENTIFIER
)                                                 line 145 cols 81-82 is T_PUNCTUATION
.                                                 line 146 cols 13-14 is T_PUNCTUATION
addGroup                                          line 146 cols 21-29 is T_IDENTIFIER
(                                                 line 146 cols 22-23 is T_PUNCTUATION
layout                                            line 146 cols 28-34 is T_IDENTIFIER
.                                                 line 146 cols 29-30 is T_PUNCTUATION
createSequentialGroup                             line 146 cols 50-71 is T_IDENTIFIER
(                                                 line 146 cols 51-52 is T_PUNCTUATION
)                                                 line 146 cols 52-53 is T_PUNCTUATION
.                                                 line 147 cols 17-18 is T_PUNCTUATION
addGroup                                          line 147 cols 25-33 is T_IDENTIFIER
(                                                 line 147 cols 26-27 is T_PUNCTUATION
layout                                            line 147 cols 32-38 is T_IDENTIFIER
.                                                 line 147 cols 33-34 is T_PUNCTUATION
createParallelGroup                               line 147 cols 52-71 is T_IDENTIFIER
(                                                 line 147 cols 53-54 is T_PUNCTUATION
javax                                             line 147 cols 58-63 is T_IDENTIFIER
.                                                 line 147 cols 59-60 is T_PUNCTUATION
swing                                             line 147 cols 64-69 is T_IDENTIFIER
.                                                 line 147 cols 65-66 is T_PUNCTUATION
GroupLayout                                       line 147 cols 76-87 is T_IDENTIFIER
.                                                 line 147 cols 77-78 is T_PUNCTUATION
Alignment                                         line 147 cols 86-95 is T_IDENTIFIER
.                                                 line 147 cols 87-88 is T_PUNCTUATION
LEADING                                           line 147 cols 94-101 is T_IDENTIFIER
)                                                 line 147 cols 95-96 is T_PUNCTUATION
.                                                 line 148 cols 21-22 is T_PUNCTUATION
addGroup                                          line 148 cols 29-37 is T_IDENTIFIER
(                                                 line 148 cols 30-31 is T_PUNCTUATION
layout                                            line 148 cols 36-42 is T_IDENTIFIER
.                                                 line 148 cols 37-38 is T_PUNCTUATION
createSequentialGroup                             line 148 cols 58-79 is T_IDENTIFIER
(                                                 line 148 cols 59-60 is T_PUNCTUATION
)                                                 line 148 cols 60-61 is T_PUNCTUATION
.                                                 line 149 cols 25-26 is T_PUNCTUATION
addGap                                            line 149 cols 31-37 is T_IDENTIFIER
(                                                 line 149 cols 32-33 is T_PUNCTUATION
508                                               line 149 cols 35-38 is T_INTCONSTANT
,                                                 line 149 cols 36-37 is T_PUNCTUATION
508                                               line 149 cols 40-43 is T_INTCONSTANT
,                                                 line 149 cols 41-42 is T_PUNCTUATION
508                                               line 149 cols 45-48 is T_INTCONSTANT
)                                                 line 149 cols 46-47 is T_PUNCTUATION
.                                                 line 150 cols 25-26 is T_PUNCTUATION
addGroup                                          line 150 cols 33-41 is T_IDENTIFIER
(                                                 line 150 cols 34-35 is T_PUNCTUATION
layout                                            line 150 cols 40-46 is T_IDENTIFIER
.                                                 line 150 cols 41-42 is T_PUNCTUATION
createParallelGroup                               line 150 cols 60-79 is T_IDENTIFIER
(                                                 line 150 cols 61-62 is T_PUNCTUATION
javax                                             line 150 cols 66-71 is T_IDENTIFIER
.                                                 line 150 cols 67-68 is T_PUNCTUATION
swing                                             line 150 cols 72-77 is T_IDENTIFIER
.                                                 line 150 cols 73-74 is T_PUNCTUATION
GroupLayout                                       line 150 cols 84-95 is T_IDENTIFIER
.                                                 line 150 cols 85-86 is T_PUNCTUATION
Alignment                                         line 150 cols 94-103 is T_IDENTIFIER
.                                                 line 150 cols 95-96 is T_PUNCTUATION
LEADING                                           line 150 cols 102-109 is T_IDENTIFIER
,                                                 line 150 cols 103-104 is T_PUNCTUATION
false                                             line 150 cols 109-114 is T_IDENTIFIER
)                                                 line 150 cols 110-111 is T_PUNCTUATION
.                                                 line 151 cols 29-30 is T_PUNCTUATION
addComponent                                      line 151 cols 41-53 is T_IDENTIFIER
(                                                 line 151 cols 42-43 is T_PUNCTUATION
jLabel3                                           line 151 cols 49-56 is T_IDENTIFIER
,                                                 line 151 cols 50-51 is T_PUNCTUATION
javax                                             line 151 cols 56-61 is T_IDENTIFIER
.                                                 line 151 cols 57-58 is T_PUNCTUATION
swing                                             line 151 cols 62-67 is T_IDENTIFIER
.                                                 line 151 cols 63-64 is T_PUNCTUATION
GroupLayout                                       line 151 cols 74-85 is T_IDENTIFIER
.                                                 line 151 cols 75-76 is T_PUNCTUATION
DEFAULT_SIZE                                      line 151 cols 87-99 is T_IDENTIFIER
,                                                 line 151 cols 88-89 is T_PUNCTUATION
javax                                             line 151 cols 94-99 is T_IDENTIFIER
.                                                 line 151 cols 95-96 is T_PUNCTUATION
swing                                             line 151 cols 100-105 is T_IDENTIFIER
.                                                 line 151 cols 101-102 is T_PUNCTUATION
GroupLayout                                       line 151 cols 112-123 is T_IDENTIFIER
.                                                 line 151 cols 113-114 is T_PUNCTUATION
DEFAULT_SIZE                                      line 151 cols 125-137 is T_IDENTIFIER
,                                                 line 151 cols 126-127 is T_PUNCTUATION
Short                                             line 151 cols 132-137 is T_IDENTIFIER
.                                                 line 151 cols 133-134 is T_PUNCTUATION
MAX_VALUE                                         line 151 cols 142-151 is T_IDENTIFIER
)                                                 line 151 cols 143-144 is T_PUNCTUATION
.                                                 line 152 cols 29-30 is T_PUNCTUATION
addComponent                                      line 152 cols 41-53 is T_IDENTIFIER
(                                                 line 152 cols 42-43 is T_PUNCTUATION
jSeparator1                                       line 152 cols 53-64 is T_IDENTIFIER
,                                                 line 152 cols 54-55 is T_PUNCTUATION
javax                                             line 152 cols 60-65 is T_IDENTIFIER
.                                                 line 152 cols 61-62 is T_PUNCTUATION
swing                                             line 152 cols 66-71 is T_IDENTIFIER
.                                                 line 152 cols 67-68 is T_PUNCTUATION
GroupLayout                                       line 152 cols 78-89 is T_IDENTIFIER
.                                                 line 152 cols 79-80 is T_PUNCTUATION
PREFERRED_SIZE                                    line 152 cols 93-107 is T_IDENTIFIER
,                                                 line 152 cols 94-95 is T_PUNCTUATION
241                                               line 152 cols 98-101 is T_INTCONSTANT
,                                                 line 152 cols 99-100 is T_PUNCTUATION
javax                                             line 152 cols 105-110 is T_IDENTIFIER
.                                                 line 152 cols 106-107 is T_PUNCTUATION
swing                                             line 152 cols 111-116 is T_IDENTIFIER
.                                                 line 152 cols 112-113 is T_PUNCTUATION
GroupLayout                                       line 152 cols 123-134 is T_IDENTIFIER
.                                                 line 152 cols 124-125 is T_PUNCTUATION
PREFERRED_SIZE                                    line 152 cols 138-152 is T_IDENTIFIER
)                                                 line 152 cols 139-140 is T_PUNCTUATION
)                                                 line 152 cols 140-141 is T_PUNCTUATION
)                                                 line 152 cols 141-142 is T_PUNCTUATION
.                                                 line 153 cols 21-22 is T_PUNCTUATION
addGroup                                          line 153 cols 29-37 is T_IDENTIFIER
(                                                 line 153 cols 30-31 is T_PUNCTUATION
layout                                            line 153 cols 36-42 is T_IDENTIFIER
.                                                 line 153 cols 37-38 is T_PUNCTUATION
createSequentialGroup                             line 153 cols 58-79 is T_IDENTIFIER
(                                                 line 153 cols 59-60 is T_PUNCTUATION
)                                                 line 153 cols 60-61 is T_PUNCTUATION
.                                                 line 154 cols 25-26 is T_PUNCTUATION
addGap                                            line 154 cols 31-37 is T_IDENTIFIER
(                                                 line 154 cols 32-33 is T_PUNCTUATION
591                                               line 154 cols 35-38 is T_INTCONSTANT
,                                                 line 154 cols 36-37 is T_PUNCTUATION
591                                               line 154 cols 40-43 is T_INTCONSTANT
,                                                 line 154 cols 41-42 is T_PUNCTUATION
591                                               line 154 cols 45-48 is T_INTCONSTANT
)                                                 line 154 cols 46-47 is T_PUNCTUATION
.                                                 line 155 cols 25-26 is T_PUNCTUATION
addComponent                                      line 155 cols 37-49 is T_IDENTIFIER
(                                                 line 155 cols 38-39 is T_PUNCTUATION
jButton1                                          line 155 cols 46-54 is T_IDENTIFIER
)                                                 line 155 cols 47-48 is T_PUNCTUATION
)                                                 line 155 cols 48-49 is T_PUNCTUATION
)                                                 line 155 cols 49-50 is T_PUNCTUATION
.                                                 line 156 cols 17-18 is T_PUNCTUATION
addGap                                            line 156 cols 23-29 is T_IDENTIFIER
(                                                 line 156 cols 24-25 is T_PUNCTUATION
0                                                 line 156 cols 25-26 is T_INTCONSTANT
,                                                 line 156 cols 26-27 is T_PUNCTUATION
0                                                 line 156 cols 28-29 is T_INTCONSTANT
,                                                 line 156 cols 29-30 is T_PUNCTUATION
Short                                             line 156 cols 35-40 is T_IDENTIFIER
.                                                 line 156 cols 36-37 is T_PUNCTUATION
MAX_VALUE                                         line 156 cols 45-54 is T_IDENTIFIER
)                                                 line 156 cols 46-47 is T_PUNCTUATION
)                                                 line 156 cols 47-48 is T_PUNCTUATION
.                                                 line 157 cols 13-14 is T_PUNCTUATION
addGroup                                          line 157 cols 21-29 is T_IDENTIFIER
(                                                 line 157 cols 22-23 is T_PUNCTUATION
